1	16
2	2
3	7
4	7
5	11
6	12
7	3 9
8	20
9	4
10	18
11	2 12
12	8
13	19
14	3
15	11 21
16	18
17	7
18	10
19	11
20	8
21	11
22	4
23	20
24	7 22
25	20
26	19
27	17
28	2
29	1
30	16
31	10
32	10 12
33	10
34	11
35	8 11
36	20
37	16
38	4
39	8
40	2
41	11
42	20 21
43	3
44	8
45	21
46	16
47	7
48	8
49	6
50	7
51	17
52	18
53	24
54	19
55	9
56	21
57	15
58	6
59	8
60	13
61	13
62	10
63	4
64	14
65	18 23
66	12
67	1
68	22
69	3
70	16
71	2
72	8
73	3
74	11
75	24
76	3
77	22
78	24
79	21
80	3
81	20
82	22
83	4
84	6
85	23
86	18
87	4 8
88	3
89	5
90	20
91	12
92	3
93	9
94	22
95	20
96	3
97	1
98	2
99	18
100	17 22
101	1
102	7
103	12
104	20
105	22
106	18
107	10
108	19
109	6
110	20
111	9
112	6
113	3
114	8
115	19
116	13
117	5
118	1
119	8
120	9
121	9
122	3
123	8
124	1
125	4
126	3
127	2
128	15
129	14
130	3
131	2 10
132	8
133	15
134	8
135	22
136	6
137	22
138	2 23
139	20
140	9
141	7 16
142	8
143	20
144	14
145	18
146	12
147	8
148	22
149	5
150	17 22
151	7
152	3
153	10
154	15
155	7
156	1
157	19
158	8
159	9 19
160	20
161	12
162	1 9
163	4
164	9 13
165	7
166	20
167	11
168	3
169	18
170	8
171	1
172	19
173	17
174	3
175	12
176	15
177	18
178	9
179	14
180	3
181	9
182	7
183	7
184	22
185	24
186	23
187	12
188	11
189	12
190	9
191	20
192	8
193	3
194	15
195	22
196	12
197	3
198	23
199	4
200	7
201	9
202	7
203	2
204	3 8
205	17
206	13
207	15 21
208	9
209	9
210	12 16
211	14
212	12
213	14
214	10
215	8
216	7
217	11
218	9
219	21
220	10
221	19
222	20
223	10
224	15
225	11 17
226	22
227	5
228	16
229	2
230	13
231	5 12
232	20 21
233	15
234	24
235	7
236	3 22
237	9
238	8
239	10
240	9 11
241	19 20
242	16
243	23
244	21
245	14 16
246	12
247	6
248	3
249	2 13
250	8
251	1
252	14
253	24
254	23
255	23
256	3
257	20
258	8
259	6
260	8
261	3
262	4
263	8 23
264	9
265	20
266	6
267	20
268	23
269	4
270	7
271	4
272	19
273	11
274	16
275	5
276	16
277	19
278	12
279	8
280	18
281	3
282	15
283	20
284	16
285	9
286	7
287	19
288	8
289	24
290	19
291	15
292	15
293	8
294	22
295	19
296	6
297	2
298	7
299	20
300	12 20
301	18
302	11
303	5
304	21
305	17
306	12
307	3
308	9
309	4
310	13
311	4
312	18
313	8
314	19
315	1
316	3
317	17
318	3
319	12
320	3
321	1
322	5
323	5
324	8
325	9 12
326	1
327	7
328	2
329	22
330	3
331	22
332	3
333	13
334	16
335	11
336	7
337	4
338	1
339	9 16
340	7
341	19
342	21
343	23
344	3
345	10
346	7
347	12
348	21
349	12
350	7
351	13
352	10
353	9
354	19
355	15
356	6
357	13
358	8 18
359	1
